t_s,push_req_s,pop_req_s,push_msg_s,pop_msg_s,commit_s,broker_cpu,pg_cpu
60,8658,1801,866353,899847,8018,833.93,441.66
90,9282,1793,927243,897670,8230,753.17,467.09
120,8860,1786,886387,892763,8064,671.49,677.46
150,8870,1824,887120,911117,8165,886.32,533.85
180,8905,1740,891150,869800,8024,875.94,616.33
210,9022,1849,901293,924413,8217,775.59,662.48
240,9176,1707,917640,854847,8040,866.91,519.96
270,8893,1858,889777,927397,8270,878.02,633.97
300,8638,1763,863220,882193,7900,742.17,498.15
330,9214,1709,920833,853750,8088,878.43,36.66
